epoch,binary_accuracy,dice_coef,iou_cal,loss,precision_5,recall_5,val_binary_accuracy,val_dice_coef,val_iou_cal,val_loss,val_precision_5,val_recall_5
0,0.764105498790741,0.3089952766895294,0.1847301721572876,0.49114957451820374,0.2408781349658966,0.007075461093336344,0.7744055986404419,0.42476895451545715,0.2697474956512451,0.3953014314174652,0.7202086448669434,0.07459486275911331
1,0.9050188660621643,0.6911593675613403,0.5397913455963135,0.23317615687847137,0.8446329832077026,0.7244958877563477,0.9384897351264954,0.7280436158180237,0.5733795762062073,0.17568719387054443,0.9550752639770508,0.7762942910194397
2,0.9506471753120422,0.8372149467468262,0.7216522693634033,0.13014662265777588,0.9116281867027283,0.8721433281898499,0.917670726776123,0.6928326487541199,0.5313111543655396,0.21664972603321075,0.9432371258735657,0.6934335231781006
3,0.9615150690078735,0.8754097819328308,0.7791411280632019,0.09835641831159592,0.9285942316055298,0.9038761854171753,0.9316745400428772,0.7697375416755676,0.6269729137420654,0.18664328753948212,0.9773628115653992,0.7278039455413818
4,0.9662752151489258,0.8922699093818665,0.8059942722320557,0.08493708819150925,0.9383559226989746,0.9149661064147949,0.8973796367645264,0.6699801087379456,0.5057038068771362,0.2811092436313629,0.9725943803787231,0.5822685360908508
5,0.9694066643714905,0.9026175141334534,0.822917103767395,0.07601166516542435,0.944238543510437,0.9228341579437256,0.93243408203125,0.7948676943778992,0.6609524488449097,0.18750829994678497,0.9587185978889465,0.7462949752807617
6,0.9709827899932861,0.9081675410270691,0.8321124315261841,0.07147940993309021,0.9458554983139038,0.9282554984092712,0.9305223226547241,0.7921985983848572,0.6574825644493103,0.1968272626399994,0.940907895565033,0.7533877491950989
7,0.9732683300971985,0.9155961275100708,0.8446109890937805,0.06598536670207977,0.9510095715522766,0.933017909526825,0.9611799120903015,0.8753697872161865,0.7789801359176636,0.10429650545120239,0.9629037380218506,0.8692589998245239
8,0.9746346473693848,0.9195807576179504,0.8514198064804077,0.0626499280333519,0.9533166289329529,0.9367059469223022,0.9611023664474487,0.8850559592247009,0.7944639921188354,0.11015410721302032,0.9589077830314636,0.8728465437889099
9,0.975396454334259,0.9225947260856628,0.8565268516540527,0.06014391407370567,0.9541219472885132,0.9392775893211365,0.9576374292373657,0.863344669342041,0.7601795792579651,0.11180049180984497,0.9649831056594849,0.8516895174980164
10,0.976024329662323,0.9240952730178833,0.8591471910476685,0.05869829282164574,0.9552717804908752,0.9408679604530334,0.9637632369995117,0.8936505317687988,0.8084083795547485,0.10455438494682312,0.966221809387207,0.877371072769165
11,0.9774376153945923,0.9288995265960693,0.8674347996711731,0.054934434592723846,0.9575300812721252,0.9448044896125793,0.9698099493980408,0.9094486236572266,0.834330677986145,0.07883370667695999,0.9574624300003052,0.9128350615501404
12,0.9790042638778687,0.9341118931770325,0.8765217065811157,0.050739072263240814,0.959991455078125,0.9491966366767883,0.974500298500061,0.9181018471717834,0.8489479422569275,0.06514977663755417,0.9709693193435669,0.9196179509162903
13,0.9789245128631592,0.9338652491569519,0.876075804233551,0.05100914463400841,0.9602451920509338,0.948569118976593,0.9585261940956116,0.8814868330955505,0.7890121936798096,0.11803518235683441,0.9666328430175781,0.854023814201355
14,0.9799979329109192,0.937275767326355,0.882077693939209,0.04824478179216385,0.9621314406394958,0.9513616561889648,0.9670789837837219,0.9058237671852112,0.828417181968689,0.08831102401018143,0.9681620597839355,0.8899940252304077
15,0.9808568358421326,0.9401053190231323,0.8871018290519714,0.04599139839410782,0.9632147550582886,0.9540482759475708,0.9759666323661804,0.9280535578727722,0.8660617470741272,0.06164124235510826,0.9736359119415283,0.9233280420303345
16,0.9809297919273376,0.9400973320007324,0.8870996832847595,0.04602927714586258,0.9636363983154297,0.9539235234260559,0.9750611782073975,0.9239905476570129,0.8590441942214966,0.06214607134461403,0.9691991209983826,0.9238553643226624
17,0.9816222786903381,0.9424282908439636,0.8912379741668701,0.04417909309267998,0.9651869535446167,0.9553652405738831,0.9760069847106934,0.9280795454978943,0.8661983013153076,0.06310654431581497,0.9644683599472046,0.9328638911247253
18,0.9826440215110779,0.9457100033760071,0.8971118330955505,0.04159851744771004,0.9665746092796326,0.9584497213363647,0.9763729572296143,0.9315787553787231,0.8722060918807983,0.06100255250930786,0.967456579208374,0.9313745498657227
19,0.9825802445411682,0.9457536339759827,0.8972037434577942,0.041699089109897614,0.9664835929870605,0.958262026309967,0.9792969226837158,0.9342601895332336,0.8768541812896729,0.05226631090044975,0.9674780368804932,0.9441525936126709
